uid,first_name,last_name,common_name,gender,birth_date,birth_city,nationality_code3,height_cm,weight_kg,source,role_type,position_main,preferred_foot,current_ability,potential_ability,t_control,t_conduccion,t_pase,t_pase_un_toque,t_finalizacion,t_tiro_lejano,t_regate,t_poste,t_entrada,t_intercepcion,t_bloqueo,g_paradas,g_reflejos,g_uno_con_uno,g_juego_pies,g_distribucion,g_posicionamiento,g_salidas,g_jugador,m_vision,m_decision,m_anticipacion,m_concentracion,m_posicionamiento,m_agresividad,m_serenidad,m_liderazgo,m_equipo,m_trabajo,m_arrojo,p_aceleracion,p_velocidad,p_agilidad,p_equilibrio,p_coordinacion,p_resistencia,p_fuerza,p_salto,h_consistencia,h_lesiones,h_juego_duro,h_temperamento,staff_role,ent_tecnica,ent_ofensiva,ent_defensiva,ent_porteros,ent_fisica,ent_tactica,medicina,h_juicio_habilidad,h_juicio_potencial,motivacion,gestion_vestuario,negociacion,adaptabilidad,referee_country,strictness,big_match_rating
person-club-madrid-fs-001,Miguel,Ramírez,Chino,M,2001-07-05,,ESP,195,69,import,player,POR,D,125,129,6,4,5,4,6,3,7,6,5,3,3,14,15,13,10,14,11,16,14,9,6,5,7,9,11,5,9,11,10,8,6,5,5,11,10,5,6,11,10,13,9,8,,,,,,,,,,,,,,,,,
person-club-madrid-fs-002,Javier,Pérez,,M,2000-03-01,,ESP,187,70,import,player,POR,D,123,138,7,3,5,3,7,5,6,5,3,7,3,10,10,14,10,16,16,13,12,9,5,7,6,8,11,9,8,7,12,9,10,5,12,12,7,10,6,5,11,10,14,9,,,,,,,,,,,,,,,,,
person-club-madrid-fs-003,Raúl,Morales,,M,2000-09-09,,ESP,184,85,import,player,CIE,I,111,129,8,10,14,8,9,9,8,9,12,10,8,1,1,1,1,1,1,1,1,14,8,8,10,10,13,13,8,8,13,14,9,14,13,9,11,12,12,9,10,9,8,9,,,,,,,,,,,,,,,,,
person-club-madrid-fs-004,Miguel,Reyes,Chino,M,1998-07-20,,ESP,173,77,import,player,UNI,I,135,159,16,13,12,16,13,13,16,15,10,10,10,1,1,1,1,1,1,1,1,11,16,15,12,14,12,10,16,16,16,11,12,13,14,16,15,15,11,12,12,14,9,15,,,,,,,,,,,,,,,,,
person-club-madrid-fs-005,David,Díaz,,M,1991-06-23,,ESP,192,81,import,player,PIV,AM,110,118,14,11,14,14,9,12,9,12,11,12,8,1,1,1,1,1,1,1,1,13,10,11,13,9,11,13,12,9,14,8,8,9,10,9,10,9,14,11,10,11,14,13,,,,,,,,,,,,,,,,,
person-club-madrid-fs-006,Sergio,Martínez,,M,1999-08-11,,ESP,194,66,import,player,UNI,I,116,142,14,10,14,14,14,8,10,12,8,14,10,1,1,1,1,1,1,1,1,12,12,14,10,14,13,8,10,12,8,12,11,10,10,9,12,12,12,10,13,8,9,14,,,,,,,,,,,,,,,,,
person-club-madrid-fs-007,Javier,Torres,,M,1992-03-19,,ESP,172,84,import,player,ALI,D,135,145,14,11,14,14,16,12,14,12,12,11,15,1,1,1,1,1,1,1,1,13,13,14,12,14,16,14,11,12,13,15,14,12,14,15,13,16,13,16,8,11,11,9,,,,,,,,,,,,,,,,,
person-club-madrid-fs-008,Rubén,Sánchez,,M,1997-09-12,,ESP,172,68,import,player,ALD,AM,117,117,11,14,14,11,9,14,14,12,12,13,11,1,1,1,1,1,1,1,1,10,8,8,14,12,14,11,9,10,8,10,8,8,12,8,9,14,13,13,11,12,9,14,,,,,,,,,,,,,,,,,
person-club-madrid-fs-009,Javier,Flores,Bebe,M,2002-07-21,,ESP,193,79,import,player,ALI,AM,121,122,11,11,15,14,14,15,14,13,9,14,15,1,1,1,1,1,1,1,1,14,10,13,15,14,14,12,15,10,10,14,11,13,15,15,9,14,11,14,11,8,15,9,,,,,,,,,,,,,,,,,
person-club-madrid-fs-010,Javier,Ramírez,,M,1995-02-06,,ESP,189,67,import,player,UNI,D,120,150,12,11,12,15,13,10,15,12,13,12,9,1,1,1,1,1,1,1,1,10,15,15,15,15,11,10,11,14,15,9,14,12,14,14,15,10,15,9,12,12,11,14,,,,,,,,,,,,,,,,,
